DATE,HomeownershipRate
2002-01,67.8
2002-02,67.73333333333333
2002-03,67.66666666666666
2002-04,67.6
2002-05,67.73333333333333
2002-06,67.86666666666666
2002-07,68.0
2002-08,68.1
2002-09,68.2
2002-10,68.3
2002-11,68.2
2002-12,68.1
2003-01,68.0
2003-02,68.0
2003-03,68.0
2003-04,68.0
2003-05,68.13333333333334
2003-06,68.26666666666667
2003-07,68.4
2003-08,68.46666666666667
2003-09,68.53333333333333
2003-10,68.6
2003-11,68.6
2003-12,68.6
2004-01,68.6
2004-02,68.8
2004-03,69.0
2004-04,69.2
2004-05,69.13333333333334
2004-06,69.06666666666666
2004-07,69.0
2004-08,69.06666666666666
2004-09,69.13333333333334
2004-10,69.2
2004-11,69.16666666666667
2004-12,69.13333333333333
2005-01,69.1
2005-02,68.93333333333332
2005-03,68.76666666666667
2005-04,68.6
2005-05,68.66666666666666
2005-06,68.73333333333333
2005-07,68.8
2005-08,68.86666666666666
2005-09,68.93333333333334
2005-10,69.0
2005-11,68.83333333333333
2005-12,68.66666666666667
2006-01,68.5
2006-02,68.56666666666666
2006-03,68.63333333333334
2006-04,68.7
2006-05,68.8
2006-06,68.9
2006-07,69.0
2006-08,68.96666666666667
2006-09,68.93333333333334
2006-10,68.9
2006-11,68.73333333333333
2006-12,68.56666666666668
2007-01,68.4
2007-02,68.33333333333334
2007-03,68.26666666666667
2007-04,68.2
2007-05,68.2
2007-06,68.2
2007-07,68.2
2007-08,68.06666666666666
2007-09,67.93333333333334
2007-10,67.8
2007-11,67.8
2007-12,67.8
2008-01,67.8
2008-02,67.89999999999999
2008-03,68.0
2008-04,68.1
2008-05,68.03333333333333
2008-06,67.96666666666667
2008-07,67.9
2008-08,67.76666666666667
2008-09,67.63333333333334
2008-10,67.5
2008-11,67.43333333333334
2008-12,67.36666666666666
2009-01,67.3
2009-02,67.33333333333333
2009-03,67.36666666666667
2009-04,67.4
2009-05,67.46666666666667
2009-06,67.53333333333333
2009-07,67.6
2009-08,67.46666666666667
2009-09,67.33333333333333
2009-10,67.2
2009-11,67.16666666666667
2009-12,67.13333333333333
2010-01,67.1
2010-02,67.03333333333333
2010-03,66.96666666666667
2010-04,66.9
2010-05,66.9
2010-06,66.9
2010-07,66.9
2010-08,66.76666666666667
2010-09,66.63333333333334
2010-10,66.5
2010-11,66.46666666666667
2010-12,66.43333333333334
2011-01,66.4
2011-02,66.23333333333333
2011-03,66.06666666666668
2011-04,65.9
2011-05,66.03333333333333
2011-06,66.16666666666667
2011-07,66.3
2011-08,66.2
2011-09,66.1
2011-10,66.0
2011-11,65.8
2011-12,65.60000000000001
2012-01,65.4
2012-02,65.43333333333334
2012-03,65.46666666666667
2012-04,65.5
2012-05,65.5
2012-06,65.5
2012-07,65.5
2012-08,65.46666666666667
2012-09,65.43333333333334
2012-10,65.4
2012-11,65.26666666666667
2012-12,65.13333333333334
2013-01,65.0
2013-02,65.0
2013-03,65.0
2013-04,65.0
2013-05,65.1
2013-06,65.2
2013-07,65.3
2013-08,65.26666666666667
2013-09,65.23333333333333
2013-10,65.2
2013-11,65.06666666666666
2013-12,64.93333333333334
2014-01,64.8
2014-02,64.76666666666667
2014-03,64.73333333333333
2014-04,64.7
2014-05,64.60000000000001
2014-06,64.5
2014-07,64.4
2014-08,64.26666666666667
2014-09,64.13333333333334
2014-10,64.0
2014-11,63.9
2014-12,63.800000000000004
2015-01,63.7
2015-02,63.6
2015-03,63.5
2015-04,63.4
2015-05,63.5
2015-06,63.6
2015-07,63.7
2015-08,63.733333333333334
2015-09,63.766666666666666
2015-10,63.8
2015-11,63.699999999999996
2015-12,63.6
2016-01,63.5
2016-02,63.3
2016-03,63.1
2016-04,62.9
2016-05,63.1
2016-06,63.3
2016-07,63.5
2016-08,63.56666666666667
2016-09,63.63333333333333
2016-10,63.7
2016-11,63.66666666666667
2016-12,63.63333333333333
2017-01,63.6
2017-02,63.63333333333333
2017-03,63.66666666666667
2017-04,63.7
2017-05,63.766666666666666
2017-06,63.833333333333336
2017-07,63.9
2017-08,64.0
2017-09,64.1
2017-10,64.2
2017-11,64.2
2017-12,64.2
2018-01,64.2
2018-02,64.23333333333333
2018-03,64.26666666666667
2018-04,64.3
2018-05,64.33333333333333
2018-06,64.36666666666667
2018-07,64.4
2018-08,64.53333333333333
2018-09,64.66666666666667
2018-10,64.8
2018-11,64.6
2018-12,64.4
2019-01,64.2
2019-02,64.16666666666667
2019-03,64.13333333333333
2019-04,64.1
2019-05,64.33333333333333
2019-06,64.56666666666666
2019-07,64.8
2019-08,64.89999999999999
2019-09,65.0
2019-10,65.1
2019-11,65.16666666666666
2019-12,65.23333333333333
2020-01,65.3
2020-02,66.16666666666667
2020-03,67.03333333333333
2020-04,67.9
2020-05,67.73333333333333
2020-06,67.56666666666668
2020-07,67.4
2020-08,66.86666666666667
2020-09,66.33333333333333
2020-10,65.8
2020-11,65.73333333333333
2020-12,65.66666666666666
2021-01,65.6
2021-02,65.53333333333333
2021-03,65.46666666666667
2021-04,65.4
2021-05,65.4
2021-06,65.4
2021-07,65.4
2021-08,65.43333333333334
2021-09,65.46666666666667
2021-10,65.5
