DATE,RentalVacancyRate
2002-01,9.1
2002-02,8.866666666666667
2002-03,8.633333333333333
2002-04,8.4
2002-05,8.6
2002-06,8.8
2002-07,9.0
2002-08,9.1
2002-09,9.200000000000001
2002-10,9.3
2002-11,9.333333333333334
2002-12,9.366666666666667
2003-01,9.4
2003-02,9.466666666666667
2003-03,9.533333333333333
2003-04,9.6
2003-05,9.7
2003-06,9.8
2003-07,9.9
2003-08,10.0
2003-09,10.1
2003-10,10.2
2003-11,10.266666666666666
2003-12,10.333333333333334
2004-01,10.4
2004-02,10.333333333333334
2004-03,10.266666666666666
2004-04,10.2
2004-05,10.166666666666666
2004-06,10.133333333333333
2004-07,10.1
2004-08,10.066666666666666
2004-09,10.033333333333333
2004-10,10.0
2004-11,10.033333333333333
2004-12,10.066666666666666
2005-01,10.1
2005-02,10.0
2005-03,9.9
2005-04,9.8
2005-05,9.833333333333334
2005-06,9.866666666666667
2005-07,9.9
2005-08,9.8
2005-09,9.7
2005-10,9.6
2005-11,9.566666666666666
2005-12,9.533333333333333
2006-01,9.5
2006-02,9.533333333333333
2006-03,9.566666666666666
2006-04,9.6
2006-05,9.7
2006-06,9.8
2006-07,9.9
2006-08,9.866666666666667
2006-09,9.833333333333334
2006-10,9.8
2006-11,9.9
2006-12,10.0
2007-01,10.1
2007-02,9.9
2007-03,9.7
2007-04,9.5
2007-05,9.6
2007-06,9.700000000000001
2007-07,9.8
2007-08,9.733333333333334
2007-09,9.666666666666666
2007-10,9.6
2007-11,9.766666666666666
2007-12,9.933333333333334
2008-01,10.1
2008-02,10.066666666666666
2008-03,10.033333333333333
2008-04,10.0
2008-05,9.966666666666667
2008-06,9.933333333333334
2008-07,9.9
2008-08,9.966666666666667
2008-09,10.033333333333333
2008-10,10.1
2008-11,10.1
2008-12,10.1
2009-01,10.1
2009-02,10.266666666666666
2009-03,10.433333333333334
2009-04,10.6
2009-05,10.766666666666666
2009-06,10.933333333333334
2009-07,11.1
2009-08,10.966666666666667
2009-09,10.833333333333332
2009-10,10.7
2009-11,10.666666666666666
2009-12,10.633333333333333
2010-01,10.6
2010-02,10.6
2010-03,10.6
2010-04,10.6
2010-05,10.5
2010-06,10.4
2010-07,10.3
2010-08,10.0
2010-09,9.700000000000001
2010-10,9.4
2010-11,9.5
2010-12,9.6
2011-01,9.7
2011-02,9.533333333333333
2011-03,9.366666666666665
2011-04,9.2
2011-05,9.4
2011-06,9.6
2011-07,9.8
2011-08,9.666666666666668
2011-09,9.533333333333333
2011-10,9.4
2011-11,9.200000000000001
2011-12,9.0
2012-01,8.8
2012-02,8.733333333333334
2012-03,8.666666666666666
2012-04,8.6
2012-05,8.6
2012-06,8.6
2012-07,8.6
2012-08,8.633333333333333
2012-09,8.666666666666666
2012-10,8.7
2012-11,8.666666666666666
2012-12,8.633333333333333
2013-01,8.6
2013-02,8.466666666666667
2013-03,8.333333333333332
2013-04,8.2
2013-05,8.233333333333333
2013-06,8.266666666666667
2013-07,8.3
2013-08,8.266666666666667
2013-09,8.233333333333333
2013-10,8.2
2013-11,8.233333333333333
2013-12,8.266666666666667
2014-01,8.3
2014-02,8.033333333333333
2014-03,7.766666666666667
2014-04,7.5
2014-05,7.466666666666667
2014-06,7.433333333333334
2014-07,7.4
2014-08,7.266666666666667
2014-09,7.133333333333334
2014-10,7.0
2014-11,7.033333333333333
2014-12,7.066666666666666
2015-01,7.1
2015-02,7.0
2015-03,6.8999999999999995
2015-04,6.8
2015-05,6.966666666666667
2015-06,7.133333333333333
2015-07,7.3
2015-08,7.2
2015-09,7.1
2015-10,7.0
2015-11,7.0
2015-12,7.0
2016-01,7.0
2016-02,6.9
2016-03,6.8
2016-04,6.7
2016-05,6.733333333333333
2016-06,6.766666666666667
2016-07,6.8
2016-08,6.833333333333333
2016-09,6.866666666666667
2016-10,6.9
2016-11,6.933333333333334
2016-12,6.966666666666667
2017-01,7.0
2017-02,7.1
2017-03,7.2
2017-04,7.3
2017-05,7.366666666666666
2017-06,7.433333333333334
2017-07,7.5
2017-08,7.3
2017-09,7.1000000000000005
2017-10,6.9
2017-11,6.933333333333334
2017-12,6.966666666666667
2018-01,7.0
2018-02,6.933333333333334
2018-03,6.866666666666666
2018-04,6.8
2018-05,6.8999999999999995
2018-06,7.0
2018-07,7.1
2018-08,6.933333333333333
2018-09,6.766666666666667
2018-10,6.6
2018-11,6.733333333333333
2018-12,6.866666666666666
2019-01,7.0
2019-02,6.933333333333334
2019-03,6.866666666666666
2019-04,6.8
2019-05,6.8
2019-06,6.8
2019-07,6.8
2019-08,6.666666666666667
2019-09,6.533333333333333
2019-10,6.4
2019-11,6.466666666666667
2019-12,6.533333333333333
2020-01,6.6
2020-02,6.3
2020-03,6.0
2020-04,5.7
2020-05,5.933333333333334
2020-06,6.166666666666667
2020-07,6.4
2020-08,6.433333333333334
2020-09,6.466666666666667
2020-10,6.5
2020-11,6.6
2020-12,6.7
2021-01,6.8
2021-02,6.6
2021-03,6.4
2021-04,6.2
2021-05,6.066666666666666
2021-06,5.933333333333334
2021-07,5.8
2021-08,5.733333333333333
2021-09,5.666666666666666
2021-10,5.6
