DATE,CommoditiesGlobalPrice
2003-01,67.1708227947823
2003-02,65.812391410551
2003-03,64.45396002631969
2003-04,63.0955286420884
2003-05,63.42155604308503
2003-06,63.74758344408167
2003-07,64.0736108450783
2003-08,65.53162115340331
2003-09,66.9896314617283
2003-10,68.4476417700533
2003-11,70.2468580993187
2003-12,72.04607442858409
2004-01,73.8452907578495
2004-02,75.2977731537287
2004-03,76.7502555496079
2004-04,78.2027379454871
2004-05,78.9436646010975
2004-06,79.6845912567079
2004-07,80.4255179123183
2004-08,81.69337147754923
2004-09,82.96122504278016
2004-10,84.2290786080111
2004-11,85.86292181915499
2004-12,87.4967650302989
2005-01,89.1306082414428
2005-02,90.6589577092479
2005-03,92.187307177053
2005-04,93.7156566448581
2005-05,96.84817920046106
2005-06,99.98070175606404
2005-07,103.113224311667
2005-08,103.69288686051033
2005-09,104.27254940935367
2005-10,104.852211958197
2005-11,105.55061359370868
2005-12,106.24901522922033
2006-01,106.947416864732
2006-02,110.50031572786934
2006-03,114.05321459100666
2006-04,117.606113454144
2006-05,118.04153445894467
2006-06,118.47695546374533
2006-07,118.912376468546
2006-08,117.02980180359933
2006-09,115.14722713865267
2006-10,113.264652473706
2006-11,114.09049639765733
2006-12,114.91634032160866
2007-01,115.74218424556
2007-02,119.41507215703267
2007-03,123.08796006850532
2007-04,126.760847979978
2007-05,127.50156027567566
2007-06,128.24227257137332
2007-07,128.982984867071
2007-08,134.28842054893465
2007-09,139.59385623079834
2007-10,144.899291912662
2007-11,150.732456383335
2007-12,156.565620854008
2008-01,162.398785324681
2008-02,171.298441041787
2008-03,180.198096758893
2008-04,189.097752475999
2008-05,187.15581695775498
2008-06,185.213881439511
2008-07,183.271945921267
2008-08,161.42929347408798
2008-09,139.586641026909
2008-10,117.74398857973
2008-11,112.79205223116934
2008-12,107.84011588260867
2009-01,102.888179534048
2009-02,106.12869747782634
2009-03,109.36921542160466
2009-04,112.609733365383
2009-05,115.161046834516
2009-06,117.71236030364899
2009-07,120.263673772782
2009-08,124.07687971100367
2009-09,127.89008564922534
2009-10,131.703291587447
2009-11,134.531931417387
2009-12,137.36057124732702
2010-01,140.189211077267
2010-02,141.18967946706132
2010-03,142.19014785685567
2010-04,143.19061624665
2010-05,142.78385146713867
2010-06,142.37708668762733
2010-07,141.970321908116
2010-08,147.68251931195667
2010-09,153.39471671579733
2010-10,159.106914119638
2010-11,165.840526671806
2010-12,172.574139223974
2011-01,179.307751776142
2011-02,182.71063554548365
2011-03,186.11351931482534
2011-04,189.516403084167
2011-05,187.97905096985767
2011-06,186.44169885554834
2011-07,184.904346741239
2011-08,181.99020607302802
2011-09,179.076065404817
2011-10,176.161924736606
2011-11,178.32802967264934
2011-12,180.49413460869266
2012-01,182.660239544736
2012-02,179.51326312913966
2012-03,176.36628671354333
2012-04,173.219310297947
2012-05,172.479049325838
2012-06,171.738788353729
2012-07,170.99852738162
2012-08,170.930823103471
2012-09,170.863118825322
2012-10,170.795414547173
2012-11,171.91467165938866
2012-12,173.03392877160434
2013-01,174.15318588382
2013-02,171.67866899600867
2013-03,169.20415210819732
2013-04,166.729635220386
2013-05,167.22638190753534
2013-06,167.72312859468465
2013-07,168.219875281834
2013-08,167.50145542233633
2013-09,166.78303556283865
2013-10,166.064615703341
2013-11,167.09979306759666
2013-12,168.13497043185234
2014-01,169.170147796108
2014-02,169.31714726858468
2014-03,169.46414674106134
2014-04,169.611146213538
2014-05,166.50476173306
2014-06,163.398377252582
2014-07,160.291992772104
2014-08,152.66773410629534
2014-09,145.04347544048667
2014-10,137.419216774678
2014-11,129.989011614484
2014-12,122.55880645429
2015-01,115.128601294096
2015-02,115.645596363235
2015-03,116.162591432374
2015-04,116.679586501513
2015-05,112.74488931246833
2015-06,108.81019212342368
2015-07,104.875494934379
2015-08,102.06112077457877
2015-09,99.24674661477854
2015-10,96.4323724549783
2015-11,93.87732734640063
2015-12,91.32228223782298
2016-01,88.7672371292453
2016-02,92.5725760722872
2016-03,96.3779150153291
2016-04,100.183253958371
2016-05,101.17665743888134
2016-06,102.17006091939166
2016-07,103.163464399902
2016-08,104.73765777076167
2016-09,106.31185114162133
2016-10,107.886044512481
2016-11,110.051877067186
2016-12,112.217709621891
2017-01,114.383542176596
2017-02,112.41777449326699
2017-03,110.452006809938
2017-04,108.486239126609
2017-05,109.48222895663466
2017-06,110.47821878666034
2017-07,111.474208616686
2017-08,114.26213062664233
2017-09,117.05005263659866
2017-10,119.837974646555
2017-11,122.450568659694
2017-12,125.063162672833
2018-01,127.675756685972
2018-02,128.82655121325368
2018-03,129.97734574053533
2018-04,131.128140267817
2018-05,130.827397889178
2018-06,130.526655510539
2018-07,130.2259131319
2018-08,128.06634790895433
2018-09,125.90678268600867
2018-10,123.747217463063
2018-11,122.05367889239666
2018-12,120.36014032173033
2019-01,118.666601751064
2019-02,119.04698048486067
2019-03,119.42735921865733
2019-04,119.807737952454
2019-05,118.19092911968333
2019-06,116.57412028691267
2019-07,114.957311454142
2019-08,115.52524294080233
2019-09,116.09317442746267
2019-10,116.661105914123
2019-11,113.800326263646
2019-12,110.939546613169
2020-01,108.078766962692
2020-02,102.62801041332706
2020-03,97.17725386396214
2020-04,91.7264973145972
2020-05,96.7305043264598
2020-06,101.7345113383224
2020-07,106.738518350185
2020-08,110.19191790173001
2020-09,113.645317453275
2020-10,117.09871700482
2020-11,124.64448979187834
2020-12,132.19026257893668
2021-01,139.736035365995
2021-02,144.53897871465634
2021-03,149.34192206331767
2021-04,154.144865411979
2021-05,158.60378224799766
2021-06,163.06269908401634
2021-07,167.521615920035
2021-08,174.254760526662
2021-09,180.987905133289
2021-10,187.721049739916
